Threads,Buckets,Ph3_Ph4_Buckets,Phase1,Phase2,Phase3,Phase4,Total_time
64,256,256,2392.94,775.151,1683.9,231.041,5083.19
64,128,256,2422.84,770.537,1696.03,214.398,5103.95
64,256,128,2427.8,769.438,1622.19,228.217,5047.78
