Threads,Buckets,Ph3_Ph4_Buckets,Phase1,Phase2,Phase3,Phase4,Total_time
64,256,256,1049.56,519.114,1063.87,362.64,2995.184
64,256,128,1061.41,551.227,1034.61,317.932,2965.179
64,128,256,1108.51,525.217,1066.61,300.691,3001.028
