Threads,Buffer,Buckets,Stripe,Temp_Dir,Plot_Dir,Phase_1_Time,Phase_2_Time,Phase_3_Time,Phase_4_Time,Total_Time
64,32768,16,32768,/data-l/varvara/tmp,/data-l/varvara/plot,274.207,95.677,267.316,17.009,654.211
64,32768,32,32768,/data-l/varvara/tmp,/data-l/varvara/plot,285.622,95.813,256.318,15.916,653.670
64,32768,64,32768,/data-l/varvara/tmp,/data-l/varvara/plot,260.392,96.317,249.850,14.974,621.535
64,32768,128,32768,/data-l/varvara/tmp,/data-l/varvara/plot,295.076,97.017,240.865,13.139,646.098
64,65536,16,32768,/data-l/varvara/tmp,/data-l/varvara/plot,284.301,96.164,267.829,16.977,665.274
64,65536,32,32768,/data-l/varvara/tmp,/data-l/varvara/plot,266.627,94.110,252.424,15.678,628.841
64,65536,64,32768,/data-l/varvara/tmp,/data-l/varvara/plot,282.716,94.584,245.196,15.133,637.632
64,65536,128,32768,/data-l/varvara/tmp,/data-l/varvara/plot,288.932,95.417,238.093,14.473,636.917
64,131072,16,32768,/data-l/varvara/tmp,/data-l/varvara/plot,280.793,94.104,263.670,16.272,654.841
64,131072,32,32768,/data-l/varvara/tmp,/data-l/varvara/plot,258.266,95.246,251.694,15.483,620.691
64,131072,64,32768,/data-l/varvara/tmp,/data-l/varvara/plot,283.710,94.402,243.799,14.282,636.195
64,131072,128,32768,/data-l/varvara/tmp,/data-l/varvara/plot,295.789,95.425,238.162,14.483,643.861
64,262144,16,32768,/data-l/varvara/tmp,/data-l/varvara/plot,281.090,94.550,264.397,16.543,656.582
64,262144,32,32768,/data-l/varvara/tmp,/data-l/varvara/plot,298.986,93.698,251.375,15.161,659.222
64,262144,64,32768,/data-l/varvara/tmp,/data-l/varvara/plot,261.732,94.673,244.164,15.120,615.691
64,262144,128,32768,/data-l/varvara/tmp,/data-l/varvara/plot,303.637,95.373,236.799,12.982,648.793
