K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,262144,3.544,0.000,4.433,0.000,7.977
26,262144,6.733,0.000,8.594,0.000,15.327
27,262144,13.535,0.000,17.092,0.000,30.627
28,262144,28.557,0.000,36.319,0.000,64.877
29,262144,62.838,0.000,51.246,0.000,114.085
30,262144,121.820,0.000,110.641,0.000,232.461
31,262144,252.818,0.000,169.526,0.000,422.345
32,262144,668.183,0.000,125.920,0.000,794.103
