K,HASH_T,SORT_T,IO_T,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,8,64,8,262144,3.845,0.000,5.178,0.000,9.023
26,8,64,8,262144,7.086,0.000,4.736,0.000,11.822
27,8,64,8,262144,15.430,0.000,9.591,0.000,25.021
28,8,64,8,262144,25.545,0.000,9.164,0.000,34.708
29,8,64,8,262144,60.865,0.000,7.778,0.000,68.643
30,8,64,8,262144,120.385,0.000,0.000,0.000,120.385
31,8,64,8,262144,262.644,0.000,0.000,0.000,262.644
32,8,64,8,262144,546.741,0.000,0.000,0.000,546.741
33,8,64,8,262144,1294.754,0.000,0.000,0.000,1294.754
34,8,64,8,262144,2142.205,2082.102,0.000,0.000,4224.308
35,8,64,8,262144,5002.179,4626.914,0.000,0.000,9629.093
