Threads,Phase1_Time,Phase2_Time,Phase3_Time,Phase4_Time,Write_Time,Total_Time
1,,,,
2,5749.69,369.38,2519.66,10.78,166.82,8816.34
4,3310.12,241.22,1390.22,7.41,167.59,5116.56
8,1735.31,184.47,1009.28,5.07,173.39,3107.52
16,940.47,94.53,575.00,2.59,178.62,1791.20
32,507.77,56.79,294.88,1.38,266.77,1127.59
64,304.02,53.70,217.30,0.94,361.84,937.80
