Threads,Buffer,Buckets,Stripe,Temp_Dir,Plot_Dir,Phase_1_Time,Phase_2_Time,Phase_3_Time,Phase_4_Time,Total_Time
1,1024,32,262144,/data-fast/varvara/tmp,/data-fast/varvara/plot,846.672,242.511,419.068,30.993,1539.246
1,1024,64,2048,/data-fast/varvara/tmp,/data-fast/varvara/plot,965.580,241.812,418.613,31.038,1657.044
1,1024,64,4096,/data-fast/varvara/tmp,/data-fast/varvara/plot,895.514,243.483,417.584,30.863,1587.446
1,1024,64,8192,/data-fast/varvara/tmp,/data-fast/varvara/plot,871.791,242.508,417.462,30.996,1562.758
1,1024,64,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,856.511,240.953,416.421,31.174,1545.062
1,1024,64,32768,/data-fast/varvara/tmp,/data-fast/varvara/plot,847.759,246.419,415.465,30.954,1540.599
1,1024,64,65536,/data-fast/varvara/tmp,/data-fast/varvara/plot,842.718,243.348,416.808,30.965,1533.841
1,1024,64,131072,/data-fast/varvara/tmp,/data-fast/varvara/plot,842.490,243.234,417.337,30.133,1533.197
1,1024,64,262144,/data-fast/varvara/tmp,/data-fast/varvara/plot,836.427,239.973,416.441,30.668,1523.510
1,1024,128,2048,/data-fast/varvara/tmp,/data-fast/varvara/plot,959.593,242.820,413.691,29.628,1645.734
1,1024,128,4096,/data-fast/varvara/tmp,/data-fast/varvara/plot,893.384,239.642,412.338,29.556,1574.922
1,1024,128,8192,/data-fast/varvara/tmp,/data-fast/varvara/plot,880.190,236.440,412.161,29.429,1558.222
1,1024,128,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,863.597,235.746,412.891,29.909,1542.146
1,1024,128,32768,/data-fast/varvara/tmp,/data-fast/varvara/plot,864.640,242.349,413.755,30.037,1550.782
1,1024,128,65536,/data-fast/varvara/tmp,/data-fast/varvara/plot,828.955,242.983,411.804,29.566,1513.310
1,1024,128,131072,/data-fast/varvara/tmp,/data-fast/varvara/plot,834.717,243.078,412.797,29.627,1520.221
1,1024,128,262144,/data-fast/varvara/tmp,/data-fast/varvara/plot,832.746,237.635,412.888,29.768,1513.039
1,2048,16,2048,/data-fast/varvara/tmp,/data-fast/varvara/plot,946.679,243.477,429.676,32.852,1652.685
