K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,262144,3.434,0.000,0.334,0.000,3.768
26,262144,6.205,0.000,0.649,0.000,6.854
27,262144,13.928,0.000,1.232,0.000,15.160
28,262144,27.795,0.000,2.713,0.000,30.507
29,262144,62.122,0.000,2.275,0.000,64.397
30,262144,114.532,0.000,0.984,0.000,115.516
31,262144,256.127,0.000,0.000,0.000,256.127
32,262144,547.378,0.000,0.000,0.000,547.378
