k,Temp_Dir,Final_Dir,Phase_1_Time,Phase_2_Time,Phase_3_Time,Phase_4_Time,Total_Time,Final_File_Size
25,dirs:,/data-fast/varvara/plot,113.975,36.151,94.328,5.023,249.479,GiB 
26,dirs:,/data-fast/varvara/plot,198.533,103.281,202.656,13.520,517.991,GiB 
