K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,16384,4.378,0.000,0.319,0.000,4.697
26,16384,9.050,0.000,0.677,0.000,9.727
27,16384,19.674,0.000,0.855,0.000,20.529
28,16384,40.361,0.000,0.724,0.000,41.085
29,16384,82.870,0.000,1.051,0.000,83.921
30,16384,79.105,126.925,0.853,0.000,206.883
31,16384,152.079,257.587,0.858,0.000,410.524
32,16384,333.008,521.779,0.861,0.000,855.647
33,16384,584.274,1054.446,0.814,0.000,1639.534
34,16384,1173.124,2137.705,0.388,0.000,3311.217

33,16384,790.156,1249.837,0.834,0.000,2040.827
34,16384,1411.819,2514.606,0.812,0.000,3927.237
35,16384,2823.530,5075.153,0.733,0.000,7899.415

K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,16384,4.307,0.000,0.326,0.000,4.633
26,16384,8.910,0.000,0.612,0.000,9.522
27,16384,18.533,0.000,0.214,0.000,18.746
28,16384,39.767,0.000,0.682,0.000,40.449
29,16384,81.647,0.000,0.439,0.000,82.086
30,16384,75.597,137.366,0.796,0.000,213.760
31,16384,148.824,276.902,0.803,0.000,426.529
32,16384,292.650,557.408,0.738,0.000,850.795
33,16384,600.519,1119.205,0.748,0.000,1720.471
34,16384,1281.377,2287.672,0.735,0.000,3569.784
