K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,32768,3.744,0.000,8.189,0.000,11.933
26,32768,7.089,0.000,15.194,0.000,22.283
27,32768,15.964,0.000,29.812,0.000,45.776
28,32768,31.833,0.000,58.941,0.000,90.775
29,32768,118.474,0.000,59.634,0.000,178.108
30,32768,334.042,0.000,40.399,0.000,374.441
31,32768,638.299,1209.463,52.708,0.012,1900.483
32,32768,1181.943,2456.994,51.373,0.000,3690.310
33,32768,
