K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,32768,3.742,0.000,3.474,0.000,7.216
26,32768,7.349,0.000,3.147,0.000,10.496
27,32768,15.253,0.000,10.793,0.000,26.046
28,32768,32.063,0.000,5.938,0.000,38.001
29,32768,66.196,0.000,1.834,0.000,68.030
30,32768,170.693,0.000,15.530,0.000,186.224
31,32768,269.337,272.519,3.183,0.000,545.039
32,32768,604.504,547.715,3.072,0.000,1155.291
33,32768,1451.093,1158.264,5.118,0.000,2614.475
34,32768,2579.271,2294.062,3.103,0.000,4876.436
